size,comparison,swap
10,28,10
10,19,9
10,30,11
20,56,20
20,38,18
20,60,22
30,84,30
30,57,27
30,90,33
40,112,40
40,76,36
40,120,44
50,280,100
50,190,90
50,300,110
60,504,180
60,342,162
60,540,198
70,784,280
70,532,252
70,840,308
80,2240,800
80,1520,720
80,2400,880
90,4536,1620
90,3078,1458
90,4860,1782
100,7840,2800
100,5320,2520
100,8400,3080
