size,comparison,swap
10,27,9
10,18,8
10,29,10
20,54,18
20,36,16
20,58,20
30,81,27
30,54,24
30,87,30
40,108,36
40,72,32
40,116,40
50,275,95
50,185,85
50,295,105
60,498,174
60,336,156
60,534,192
70,777,273
70,525,245
70,833,301
80,2232,792
80,1512,712
80,2392,872
90,4527,1611
90,3069,1449
90,4851,1773
100,7830,2790
100,5310,2510
100,8390,3070
